company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title
Mottl Builders & Cabinetry,Boston,MA,Boston,Cabinet Manufacturer,10,$1M-$3M,Owner,Owner
Sharp Woodworking,Boston,MA,Boston,Cabinet Manufacturer,8,$1M-$3M,Owner,Owner
Inspire Productions SF,San Francisco,CA,San Francisco Bay Area,Event Planning Company,10,$500K-$2M,Owner,Owner
California Courier Services,San Francisco,CA,San Francisco Bay Area,Courier / Last Mile Delivery,10,$1M-$3M,Owner,Owner
Godspeed Bay Area Courier,San Francisco,CA,San Francisco Bay Area,Courier / Last Mile Delivery,8,$500K-$2M,Owner,Owner
Iron Horse Transport,New York,NY,New York City,Courier / Last Mile Delivery,12,$1M-$3M,Owner,Owner
Immaculate Healthcare Services,Washington,DC,Washington DC,Home Health Agency,12,$1M-$3M,Owner,Owner
Smith Life Home Care,Washington,DC,Washington DC,Home Health Agency,8,$500K-$2M,Owner,Owner
Relish Catering & Events,Denver,CO,Denver,Catering Company,10,$500K-$2M,Owner,Owner
Three Tomatoes Catering,Denver,CO,Denver,Catering Company,12,$500K-$2M,Owner,Owner
Parties by Panache,Orange County,CA,Orange County,Catering Company,10,$500K-$2M,Owner,Owner
Taylor Made Cuisine,Orange County,CA,Orange County,Catering Company,8,$500K-$1.5M,Owner,Owner
Aqua Home Care Orlando,Orlando,FL,Orlando,Senior Home Care,10,$500K-$2M,Owner,Owner
Granny Nannies Orlando,Orlando,FL,Orlando,Senior Home Care,8,$500K-$1.5M,Owner,Owner
Envision Orlando Sign Company,Orlando,FL,Orlando,Sign Manufacturing,8,$1M-$3M,Owner,Owner
Mid-Florida Signs Orlando,Orlando,FL,Orlando,Sign Manufacturing,10,$1M-$3M,Owner,Owner
Southlake Signs Tampa,Tampa,FL,Tampa,Sign Manufacturing,8,$1M-$3M,Owner,Owner
Hit Signs Tampa,Tampa,FL,Tampa,Sign Manufacturing,6,$500K-$2M,Owner,Owner
Care Team Home Care,Tampa,FL,Tampa,Home Health Agency,12,$1M-$3M,Owner,Owner
Origen Home Care San Diego,San Diego,CA,San Diego,Senior Home Care,8,$500K-$1.5M,Owner,Owner
Salus Homecare San Diego,San Diego,CA,San Diego,Senior Home Care,12,$500K-$2M,Owner,Owner
Gross Machining Phoenix,Phoenix,AZ,Phoenix,Machine Shop / Metal Fabrication,10,$1M-$3M,Owner,Owner
California Sign Company LA,Los Angeles,CA,Los Angeles,Sign Manufacturing,12,$1M-$3M,Owner,Owner
Front Signs Burbank,Burbank,CA,Los Angeles,Sign Manufacturing,15,$1M-$5M,Owner,Owner
ISC Companies,Minneapolis,MN,Minneapolis,Machine Shop / Metal Fabrication,15,$1M-$5M,Owner,Owner
Hastreiter Industries,Minneapolis,MN,Minneapolis,Machine Shop / Metal Fabrication,10,$1M-$3M,Owner,Owner
BMS Signs Minneapolis,Minneapolis,MN,Minneapolis,Sign Manufacturing,8,$1M-$3M,Owner,Owner
Advantage Signs & Graphics,St. Paul,MN,Minneapolis,Sign Manufacturing,10,$1M-$3M,Owner,Owner
InteriorTech Sign Company,Philadelphia,PA,Philadelphia,Sign Manufacturing,15,$1M-$5M,Owner,Owner
Entire Productions,San Francisco,CA,San Francisco Bay Area,Event Planning Company,12,$500K-$2M,Owner,Owner
Rocket Science Events SF,San Francisco,CA,San Francisco Bay Area,Event Planning Company,6,$500K-$1.5M,Owner,Owner
Markraft Cabinets Nashville,Nashville,TN,Nashville,Cabinet Manufacturer,12,$1M-$5M,Owner,Owner
TeNeil Hartley Events Denver,Denver,CO,Denver,Event Planning Company,5,$500K-$1M,TeNeil Hartley,Owner
Mosaix Group Charlotte,Charlotte,NC,Charlotte,Event Planning Company,10,$500K-$2M,Owner,Owner
The Chic Bash Charlotte,Charlotte,NC,Charlotte,Event Planning Company,5,$500K-$1M,Owner,Owner
L&C Cabinetry Charlotte,Charlotte,NC,Charlotte,Cabinet Manufacturer,15,$1M-$5M,Owner,Owner
Carolina Cabinet Company,Charlotte,NC,Charlotte,Cabinet Manufacturer,10,$1M-$3M,Owner,Owner
