company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Howard Howard and Hodges,Orlando,FL,Orlando,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner,(407) 333-8110,info@howardcpas.com,https://howardcpas.com/
Kreischer Miller,Philadelphia,PA,Philadelphia,CPA Firm,15,$1M-$2M,Managing Partner,Managing Partner,(215) 441-4600,,https://www.kmco.com/
McGovern & Associates PC,Philadelphia,PA,Philadelphia,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner,(215) 483-5555,info@cpaphilly.com,https://www.cpaphilly.com/
Duffy Kruspodin LLP,Orange County,CA,Orange County,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner,(818) 385-0585,,https://dk.cpa/
Paul Anderson CPA,San Diego,CA,San Diego,CPA Firm,5,$500K-$1M,Paul Anderson,Owner,(858) 433-7287,,https://www.sdbookkeepingsolutions.com/
Levin & Associates,Chicago,IL,Chicago,Family Law Firm,10,$1M-$3M,Managing Partner,Managing Partner,(312) 546-5100,,https://levinfamilylaw.com/
Shemesh Family Law,Dallas,TX,Dallas,Family Law Firm,6,$800K-$2M,Amber Shemesh,Founding Attorney,(214) 432-2501,Amber@ShemeshFamilyLaw.com,https://www.shemeshfamilylaw.com/
The Solomon Firm,Atlanta,GA,Atlanta,Family Law Firm,7,$800K-$2M,Managing Partner,Managing Partner,(404) 565-0641,tricia@thesolomonfirm.com,https://www.thesolomonfirm.com/
Eittreim Martin Cutler LLC,Atlanta,GA,Atlanta,Family Law Firm,8,$800K-$2M,Managing Partner,Managing Partner,(770) 574-6473,,https://www.emcfamilylaw.com/
PMI New York City,New York,NY,New York City,Property Management Company,10,$1M-$3M,Principal,Managing Partner,(212) 739-0780,faiz@pminewyorkcity.com,https://www.newyorkcitypropertymanagementinc.com/
Nino Properties,Houston,TX,Houston,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Community Association Management Charlotte,Charlotte,NC,Charlotte,HOA Management Firm,10,$500K-$2M,Principal,Owner,,,,
Hawthorne HOA Management,Charlotte,NC,Charlotte,HOA Management Firm,12,$1M-$3M,Principal,Owner,,,,
Red Rock Management,Charlotte,NC,Charlotte,HOA Management Firm,10,$500K-$2M,Principal,Owner,,,,
Legacy 15 Real Estate Brokers,Orange County,CA,Orange County,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
Regency Real Estate Brokers,Orange County,CA,Orange County,Real Estate Brokerage,15,$2M-$5M,Principal,Managing Partner,,,,
Orange County Commercial Real Estate Inc,Orange County,CA,Orange County,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
TimeLine Staffing,Arlington,TX,Dallas,Staffing Agency,12,$1M-$5M,Owner,Owner,,,,
KP Staffing Dallas,Dallas,TX,Dallas,Staffing Agency,15,$2M-$5M,Principal,Owner,,,,
Odell Medical Search,Dallas,TX,Dallas,Recruiting Agency,8,$1M-$3M,Principal,Owner,,,,
Lee Danner Bass,Nashville,TN,Nashville,Wealth Management Firm,15,$2M-$5M,Principal,Managing Partner,,,,https://leedannerbass.com/
Criterion Capital Advisors,Nashville,TN,Nashville,Wealth Management Firm,8,$1M-$3M,Principal,Founder,,,,
Decker Wealth Management,Nashville,TN,Nashville,Wealth Management Firm,6,$1M-$3M,Principal,Owner,,,,
C R Mortgage Solutions,Atlanta,GA,Atlanta,Mortgage Brokerage,6,$500K-$1.5M,Constance Garrett,Owner,,,,
Moreira Team Mortgage,Atlanta,GA,Atlanta,Mortgage Brokerage,10,$500K-$2M,Alvaro Moreira,Owner,(404) 238-7888,info@moreirateam.com,https://moreirateam.com/
Georgia Platinum Mortgage,Atlanta,GA,Atlanta,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Stellar Mortgage Corporation,Atlanta,GA,Atlanta,Mortgage Brokerage,8,$500K-$2M,John West,Owner,,,,
Elcap Mortgage Inc,Atlanta,GA,Atlanta,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner,,,,
Palisades Brokerage,Washington,DC,Washington DC,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Reverie Residential,Washington,DC,Washington DC,Real Estate Brokerage,8,$1M-$5M,Principal,Owner,,,,
Central Properties DC,Washington,DC,Washington DC,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
Avenue Real Estate,Washington,DC,Washington DC,Real Estate Brokerage,8,$1M-$3M,Ross Conn,Founder,(301) 275-5509,,https://avenuerealestatellc.com/
West + Main Homes,Denver,CO,Denver,Real Estate Brokerage,15,$2M-$5M,Principal,Owner,(720) 314-8341,hello@westandmainhomes.com,https://westandmainhomes.com/
Hops & Homes,Denver,CO,Denver,Real Estate Brokerage,6,$1M-$3M,Principal,Owner,,,,
MY Denver Real Estate,Denver,CO,Denver,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Colorado & Company,Denver,CO,Denver,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
TRE Tributary Real Estate,Denver,CO,Denver,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Phillips Property Management,Northern New Jersey,NJ,Northern New Jersey,Property Management Company,15,$1M-$3M,Owner,Owner,,,,
North Jersey Property Management,Sparta,NJ,Northern New Jersey,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
PMI Prime Property NJ,Northern New Jersey,NJ,Northern New Jersey,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Corner Property Management,Northern New Jersey,NJ,Northern New Jersey,HOA Management Firm,12,$1M-$3M,Founder,Owner,,,,
FCA Corp,Houston,TX,Houston,Wealth Management Firm,15,$2M-$5M,Principal,Managing Partner,,,,
Post Oak Private Wealth Advisors,Houston,TX,Houston,Wealth Management Firm,12,$2M-$5M,Principal,Managing Partner,(281) 580-2100,,https://postoakprivatewealth.com/
Avidian Wealth Solutions,Houston,TX,Houston,Wealth Management Firm,15,$2M-$5M,Principal,Managing Partner,(281) 822-8800,info@avidianwealth.com,https://avidianwealth.com/
Segment Wealth Management,Houston,TX,Houston,Wealth Management Firm,10,$1M-$5M,Principal,Managing Partner,,,,
Financial Synergies Wealth Advisors,Houston,TX,Houston,Financial Advisory Firm,10,$1M-$5M,Principal,Managing Partner,,,,
Verve Realty,Minneapolis,MN,Minneapolis,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
TheMLSonline,Minneapolis,MN,Minneapolis,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
Kenwood Commercial,Minneapolis,MN,Minneapolis,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
CRE Partners,Minneapolis,MN,Minneapolis,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Manning Personnel Group,Boston,MA,Boston,Staffing Agency,10,$1M-$3M,Owner,Owner,(617) 523-8866,info@manningpg.com,https://manningpg.com/
Monument Staffing,Boston,MA,Boston,Staffing Agency,8,$1M-$3M,Principal,Owner,,,,
ID Staffing Solutions,Boston,MA,Boston,Staffing Agency,6,$1M-$3M,Ingrid Drago,Owner,,,,
Kinzie Brokerage,Chicago,IL,Chicago,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
Vesta Preferred Realty,Chicago,IL,Chicago,Real Estate Brokerage,15,$2M-$5M,Principal,Owner,(773) 645-4455,info@vestapreferred.com,https://vestapreferred.com/
Chicagoland Brokers,Chicago,IL,Chicago,Real Estate Brokerage,8,$1M-$3M,Henry Sakowski,Founder,,,,
Elm Fork Partners,Dallas,TX,Dallas,Family Office,8,$2M-$10M,Principal,Managing Partner,,,,
CH Investment Partners,Dallas,TX,Dallas,Family Office,10,$5M-$10M,Principal,Managing Partner,,,,
JF2 Capital Partners,Dallas,TX,Dallas,Family Office,6,$2M-$10M,Jon Frankel,Founder,,,,
K3 Management,Denver,CO,Denver,HOA Management Firm,10,$500K-$2M,Principal,Owner,,,,
ACCU Inc,Denver,CO,Denver,HOA Management Firm,15,$1M-$3M,Owner,Owner,,,,
CAP Management,Denver,CO,Denver,HOA Management Firm,12,$1M-$3M,Principal,Owner,,,,
Novele Community Management,Denver,CO,Denver,HOA Management Firm,10,$500K-$2M,Principal,Owner,,,,
Clear2Close Brokers,El Cerrito,CA,San Francisco Bay Area,Mortgage Brokerage,6,$500K-$2M,Chris Mason,Owner,,,,
Fresh Home Loan,San Francisco,CA,San Francisco Bay Area,Mortgage Brokerage,6,$500K-$2M,Garrick Werdmuller,Owner,,,,
Krilogy Texas,Dallas,TX,Dallas,Wealth Management Firm,10,$1M-$5M,Joe Martinez,Managing Partner,,,,
Wealth Solutions Inc,Dallas,TX,Dallas,Financial Advisory Firm,10,$1M-$5M,Principal,Managing Partner,,,,
XO Wealth Management,Dallas,TX,Dallas,Wealth Management Firm,6,$1M-$3M,Principal,Managing Partner,,,,
Boutique Realty Florida,Tampa,FL,Tampa,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
Quicksilver Real Estate Group,Tampa,FL,Tampa,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Bridgewater Commercial Real Estate,St. Petersburg,FL,Tampa,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
Bay Street Commercial,Tampa,FL,Tampa,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Lamm Properties,Tampa,FL,Tampa,Real Estate Brokerage,6,$1M-$3M,Principal,Owner,,,,
Certified Financial Group,Orlando,FL,Orlando,Financial Advisory Firm,15,$2M-$5M,Principal,Managing Partner,(407) 869-9800,Plan@FinancialGroup.com,https://financialgroup.com/
Moisand Fitzgerald Tamayo,Orlando,FL,Orlando,Financial Advisory Firm,12,$1M-$5M,Principal,Managing Partner,(877) 869-6228,,https://moisandfitzgerald.com/
Stonebridge Financial Planning Group,Orlando,FL,Orlando,Financial Advisory Firm,8,$1M-$3M,Principal,Managing Partner,,,,
Allgen Financial Advisors,Orlando,FL,Orlando,Financial Advisory Firm,8,$1M-$3M,Paul Roldan,Co-Founder,,,,
Oakmonte Wealth Management,Orlando,FL,Orlando,Wealth Management Firm,6,$1M-$3M,Principal,Managing Partner,,,,
Shearer Realty,Charlotte,NC,Charlotte,Property Management Company,8,$500K-$2M,Owner,Owner,,,,
MoveZen Property Management,Charlotte,NC,Charlotte,Property Management Company,10,$500K-$2M,Principal,Owner,(704) 228-8385,Rent@MoveZen360.com,https://movezen360.com/
Carolina Property Management LLC,Charlotte,NC,Charlotte,Property Management Company,12,$1M-$3M,Principal,Owner,,,,
Bottom Line Property Management,Charlotte,NC,Charlotte,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Accurate Placement,Phoenix,AZ,Phoenix,Staffing Agency,12,$1M-$5M,Principal,Owner,(602) 678-0144,info@accurateplacement.com,https://accurateplacement.com/
APN Staffing & Employment Solutions,Phoenix,AZ,Phoenix,Staffing Agency,8,$1M-$3M,Kevin O'Connor,Owner,,,,
HotFoot Recruiters,Phoenix,AZ,Phoenix,Recruiting Agency,10,$1M-$3M,Principal,Owner,,,,
Solutions Staffing,Phoenix,AZ,Phoenix,Staffing Agency,12,$1M-$5M,Principal,Owner,,,,
GoldCoast Mortgage Service,Beverly,MA,Boston,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Poli Mortgage Group,Boston,MA,Boston,Mortgage Brokerage,15,$1M-$2M,Principal,Owner,(781) 232-8000,,https://www.polimortgage.com/
Dovetail Mortgage,Boston,MA,Boston,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner,,,,
X Realty Corp,Sparta,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Boutique Realty NJ,Northern New Jersey,NJ,Northern New Jersey,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
DeFelice Realty Group,Northern New Jersey,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$3M,Carol DeFelice,Owner,,,,
Signature Realty NJ,Summit,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$5M,Principal,Owner,,,,
The Gallery Residential Brokerage,Northern New Jersey,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Maridian Real Estate Group,Hoboken,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$3M,Dian Fini,Managing Partner,,,,
Reliable Staffing Houston,Houston,TX,Houston,Staffing Agency,12,$1M-$5M,Owner,Owner,,,,
TPI Staffing,Houston,TX,Houston,Staffing Agency,15,$2M-$5M,Principal,Owner,(281) 890-2220,jobs@tpistaffing.com,https://www.tpistaffing.com/
LINK Staffing,Houston,TX,Houston,Staffing Agency,18,$2M-$5M,Principal,Owner,(800) 848-5465,,https://linkstaffing.com/
Clayton Services,Houston,TX,Houston,Staffing Agency,12,$1M-$5M,Principal,Owner,(281) 999-3080,,https://www.claytonpersonnel.com/
Murray Resources,Houston,TX,Houston,Recruiting Agency,12,$1M-$5M,Principal,Founder,(713) 935-0009,candidates@murrayresources.com,https://murrayresources.com/
Rollins Financial Advisors,Atlanta,GA,Atlanta,Financial Advisory Firm,12,$1M-$5M,Principal,Managing Partner,(404) 892-7967,invest@rollinsfinancial.com,https://www.rollinsfinancial.com/
Georgia Wealth Partners,Atlanta,GA,Atlanta,Wealth Management Firm,10,$1M-$5M,Principal,Managing Partner,,,,
FBS Property Management,San Diego,CA,San Diego,Property Management Company,10,$500K-$2M,Principal,Owner,(619) 286-7600,info@fbs-pm.com,https://fbs-pm.com/
18 Doors,San Diego,CA,San Diego,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
San Diego Professional Property Managers,San Diego,CA,San Diego,Property Management Company,8,$500K-$2M,Owner,Owner,,,,
PMI San Diego,San Diego,CA,San Diego,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
The Colorado Mortgage Team,Denver,CO,Denver,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Independent Mortgage Brokers LLC,Denver,CO,Denver,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner,,,,
Rob's Mortgage Loans,Denver,CO,Denver,Mortgage Brokerage,6,$500K-$1.5M,Rob,Owner,,,,
Front Range Mortgage,Denver,CO,Denver,Mortgage Brokerage,10,$500K-$2M,Principal,Owner,,,,
Miami Brokers Group,Miami,FL,Miami,Real Estate Brokerage,10,$1M-$5M,Mike Diaz,Owner,(786) 287-6453,,https://miamibrokersgroup.com/
Miami One Real Estate,Miami,FL,Miami,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Verawood Properties,Miami,FL,Miami,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
APEX Capital Realty,Miami,FL,Miami,Real Estate Brokerage,8,$1M-$5M,Principal,Owner,,,,
Chariff Realty Group,Miami,FL,Miami,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,(305) 576-7474,,https://chariff.com/
Chicago Partners Wealth Advisors,Chicago,IL,Chicago,Wealth Management Firm,18,$5M-$10M,Principal,Managing Partner,(312) 284-6367,info@chicagopartnersllc.com,https://chicagopartnersllc.com/
Virtue Asset Management,Chicago,IL,Chicago,Wealth Management Firm,6,$1M-$3M,Principal,Owner,,,,
The Mather Group,Chicago,IL,Chicago,Wealth Management Firm,15,$2M-$5M,Principal,Managing Partner,(888) 537-1080,,https://www.themathergroup.com/
McCall Staffing Services,San Francisco,CA,San Francisco Bay Area,Staffing Agency,15,$1M-$5M,Principal,Owner,(415) 981-3400,all@mccallstaffing.com,https://www.mccallstaffing.com/
Scion Staffing SF,San Francisco,CA,San Francisco Bay Area,Staffing Agency,12,$1M-$5M,Principal,Owner,(415) 392-7500,,https://scionstaffing.com/
80Twenty,San Francisco,CA,San Francisco Bay Area,Staffing Agency,8,$1M-$3M,Principal,Owner,,,,
Westside Property Management,Los Angeles,CA,Los Angeles,Property Management Company,12,$1M-$3M,Principal,Owner,,,,
PMI Los Angeles,Los Angeles,CA,Los Angeles,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
