company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title
Skin Retreat Med Spa,Philadelphia,PA,Philadelphia,Med Spa,6,$500K-$1M,Owner,Practice Owner
Modern Optometry,Philadelphia,PA,Philadelphia,Optometry Practice,6,$500K-$1M,Dr. Rebecca Verna,Practice Owner
New World Vision Center,Philadelphia,PA,Philadelphia,Optometry Practice,6,$500K-$1M,Owner,Practice Owner
Pine Vision Care,Philadelphia,PA,Philadelphia,Optometry Practice,6,$500K-$1M,Owner,Practice Owner
The DC Dentist,Washington,DC,Washington DC,Dental Practice,10,$800K-$1.5M,Dr. Terry Victor,Practice Owner
Washington Center for Cosmetic and Family Dentistry,Washington,DC,Washington DC,Dental Practice,10,$800K-$1.5M,Dr. Michael Pollowitz,Practice Owner
Always Smile DC,Washington,DC,Washington DC,Dental Practice,10,$800K-$1.5M,Owner,Practice Owner
DC Pearls Dental Boutique,Washington,DC,Washington DC,Dental Practice,8,$800K-$1.5M,Dr. Kourosh Ardekani,Practice Owner
Georgetown Allure Med Spa,Washington,DC,Washington DC,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Arta Medical Spa,Washington,DC,Washington DC,Med Spa,6,$500K-$1M,Dr. Safiyah West,Practice Owner
AnewSkin MedSpa,Washington,DC,Washington DC,Med Spa,6,$500K-$1M,Dr. Molly Sarumi,Practice Owner
Peel Haus,Washington,DC,Washington DC,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Dupont Veterinary Clinic,Washington,DC,Washington DC,Veterinary Clinic,8,$800K-$1.5M,Owner,Practice Owner
Union Veterinary Clinic,Washington,DC,Washington DC,Veterinary Clinic,8,$800K-$1.5M,Owner,Practice Owner
Palisades Veterinary Clinic,Washington,DC,Washington DC,Veterinary Clinic,8,$800K-$1.5M,Owner,Practice Owner
District Veterinary Hospital,Washington,DC,Washington DC,Veterinary Clinic,10,$800K-$2M,Owner,Practice Owner
Collins Animal Hospital,Washington,DC,Washington DC,Veterinary Clinic,8,$800K-$1.5M,Owner,Practice Owner
Metro Dental Care,Denver,CO,Denver,Dental Practice,12,$1M-$2M,Owner,Practice Owner
OG Dental Denver,Denver,CO,Denver,Dental Practice,8,$800K-$1.5M,Dr. O'Grady,Practice Owner
Hampden Dentistry and Orthodontics,Denver,CO,Denver,Dental Practice,10,$800K-$1.5M,Owner,Practice Owner
Rejuvenate MedSpa,Denver,CO,Denver,Med Spa,10,$500K-$1.5M,Owner,Practice Owner
La Fontaine Med Spa,Denver,CO,Denver,Med Spa,8,$500K-$1.2M,Dr. Ken Oleszek,Practice Owner
Gleam Med Spa,Denver,CO,Denver,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Mountain Med Spa,Denver,CO,Denver,Med Spa,8,$500K-$1.2M,Dr. Rock Navarkal,Practice Owner
Skintonomy Med Spa,Denver,CO,Denver,Med Spa,6,$500K-$1M,Owner,Practice Owner
ATLAS Physical Therapy,Denver,CO,Denver,Physical Therapy Clinic,15,$500K-$1.5M,Owner,Practice Owner
Denver Total PT,Denver,CO,Denver,Physical Therapy Clinic,8,$500K-$1M,Owner,Practice Owner
Blue Sky Physical Therapy,Denver,CO,Denver,Physical Therapy Clinic,10,$500K-$1.2M,Owner,Practice Owner
Denver Dermatology Center,Denver,CO,Denver,Dermatology Clinic,10,$1M-$2.5M,Dr. Margaret Muldrow,Practice Owner
SKN Dermatology,Denver,CO,Denver,Dermatology Clinic,8,$1M-$2M,Owner,Practice Owner
Cherry Hills Dermatology,Denver,CO,Denver,Dermatology Clinic,10,$1M-$2.5M,Owner,Practice Owner
Isles Dental,Minneapolis,MN,Minneapolis,Dental Practice,8,$800K-$1.5M,Dr. Robert Springer,Practice Owner
Parkway Dental Center,Minneapolis,MN,Minneapolis,Dental Practice,10,$800K-$1.5M,Owner,Practice Owner
Englander Dental,Minneapolis,MN,Minneapolis,Dental Practice,8,$800K-$1.5M,Owner,Practice Owner
Nicollet Station Dental,Minneapolis,MN,Minneapolis,Dental Practice,8,$800K-$1.5M,Owner,Practice Owner
Skin Artisans Medical Spa,Minneapolis,MN,Minneapolis,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Pure Lux Medspa,Minneapolis,MN,Minneapolis,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Afzal Clinics,Minneapolis,MN,Minneapolis,Med Spa,10,$500K-$1.5M,Owner,Practice Owner
Metropolitan Skin Clinic,Minneapolis,MN,Minneapolis,Med Spa,10,$500K-$1.5M,Owner,Practice Owner
East Lake Animal Clinic,Minneapolis,MN,Minneapolis,Veterinary Clinic,8,$800K-$1.5M,Owner,Practice Owner
Minnehaha Animal Hospital,Minneapolis,MN,Minneapolis,Veterinary Clinic,10,$800K-$2M,Owner,Practice Owner
Kenwood Pet Clinic,Minneapolis,MN,Minneapolis,Veterinary Clinic,10,$800K-$1.5M,Owner,Practice Owner
Westgate Pet Clinic,Minneapolis,MN,Minneapolis,Veterinary Clinic,10,$800K-$1.5M,Owner,Practice Owner
